PriceSUM,path
2956.0,"[{""name"":SAN},{""flightID"":343,""class"":economy,""ticketID"":344,""airlineName"":19977},{""name"":DEN},{""name"":DEN},{""flightID"":467,""class"":business,""ticketID"":469,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2794.0,"[{""name"":DFW},{""flightID"":367,""class"":economy,""ticketID"":368,""airlineName"":19977},{""name"":DEN},{""name"":DEN},{""flightID"":467,""class"":business,""ticketID"":469,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2760.25,"[{""name"":PHX},{""flightID"":471,""class"":economy,""ticketID"":472,""airlineName"":19977},{""name"":DEN},{""name"":DEN},{""flightID"":467,""class"":business,""ticketID"":469,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2650.0,"[{""name"":BIL},{""flightID"":523,""class"":economy,""ticketID"":524,""airlineName"":19977},{""name"":DEN},{""name"":DEN},{""flightID"":467,""class"":business,""ticketID"":469,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2961.75,"[{""name"":DFW},{""flightID"":367,""class"":business,""ticketID"":369,""airlineName"":19977},{""name"":DEN},{""name"":DEN},{""flightID"":467,""class"":business,""ticketID"":469,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2769.75,"[{""name"":BIL},{""flightID"":523,""class"":business,""ticketID"":525,""airlineName"":19977},{""name"":DEN},{""name"":DEN},{""flightID"":467,""class"":business,""ticketID"":469,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2865.55,"[{""name"":BIL},{""flightID"":523,""class"":firstClass,""ticketID"":526,""airlineName"":19977},{""name"":DEN},{""name"":DEN},{""flightID"":467,""class"":business,""ticketID"":469,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2944.75,"[{""name"":LAS},{""flightID"":643,""class"":business,""ticketID"":645,""airlineName"":19977},{""name"":DEN},{""name"":DEN},{""flightID"":467,""class"":business,""ticketID"":469,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2827.75,"[{""name"":MSP},{""flightID"":623,""class"":economy,""ticketID"":624,""airlineName"":19977},{""name"":DEN},{""name"":DEN},{""flightID"":467,""class"":business,""ticketID"":469,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2916.75,"[{""name"":PHX},{""flightID"":471,""class"":business,""ticketID"":473,""airlineName"":19977},{""name"":DEN},{""name"":DEN},{""flightID"":467,""class"":business,""ticketID"":469,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
